

hostname elitebyte
gcc: 4
sizeof(int) 4
sizeof(long) 8
sizeof(long long) 8
iterations 100000

0
               2 mountpoint(s)	0.873247 sec	 Sum: 5.264107 sec	Avg: 0.877351 sec	Min: 0.869627 sec	Max: 0.885925 sec	Median: 0.880179 sec
               3 mountpoint(s)	0.904780 sec	 Sum: 5.436155 sec	Avg: 0.906025 sec	Min: 0.900184 sec	Max: 0.913385 sec	Median: 0.904780 sec
               4 mountpoint(s)	0.933533 sec	 Sum: 5.679782 sec	Avg: 0.946630 sec	Min: 0.930963 sec	Max: 0.964852 sec	Median: 0.946284 sec
               5 mountpoint(s)	0.969658 sec	 Sum: 5.862115 sec	Avg: 0.977019 sec	Min: 0.969250 sec	Max: 0.989433 sec	Median: 0.980580 sec
               6 mountpoint(s)	1.001687 sec	 Sum: 6.045760 sec	Avg: 1.007626 sec	Min: 1.000657 sec	Max: 1.025960 sec	Median: 1.003861 sec
               7 mountpoint(s)	1.034026 sec	 Sum: 6.253331 sec	Avg: 1.042221 sec	Min: 1.034026 sec	Max: 1.055315 sec	Median: 1.038101 sec
               8 mountpoint(s)	1.092106 sec	 Sum: 6.479848 sec	Avg: 1.079974 sec	Min: 1.063236 sec	Max: 1.106777 sec	Median: 1.073711 sec
               9 mountpoint(s)	1.103145 sec	 Sum: 6.628197 sec	Avg: 1.104699 sec	Min: 1.098485 sec	Max: 1.115100 sec	Median: 1.103145 sec
6
                       nothing	0.000032 sec	 Sum: 0.000490 sec	Avg: 0.000070 sec	Min: 0.000027 sec	Max: 0.000299 sec	Median: 0.000032 sec
               0 mountpoint(s)	0.810273 sec	 Sum: 5.810257 sec	Avg: 0.830036 sec	Min: 0.798008 sec	Max: 0.909350 sec	Median: 0.810273 sec
               1 mountpoint(s)	0.839271 sec	 Sum: 5.898703 sec	Avg: 0.842671 sec	Min: 0.836245 sec	Max: 0.868009 sec	Median: 0.839003 sec
               2 mountpoint(s)	0.876362 sec	 Sum: 6.140469 sec	Avg: 0.877209 sec	Min: 0.869627 sec	Max: 0.885925 sec	Median: 0.876362 sec
               3 mountpoint(s)	0.903315 sec	 Sum: 6.339470 sec	Avg: 0.905638 sec	Min: 0.900184 sec	Max: 0.913385 sec	Median: 0.903551 sec
               4 mountpoint(s)	0.941019 sec	 Sum: 6.620801 sec	Avg: 0.945828 sec	Min: 0.930963 sec	Max: 0.964852 sec	Median: 0.945057 sec
